,,,MIS  ,,BO/CO,,,
Symbol,BSE Symbol,Var+ ELM+Adhoc margin,MIS Margin(%),MIS Multiplier,BO/CO Margin(%),CO Upper Trigger,BO/CO Margin(%),BO/CO Multiplier
EICHERMOT,505200,20.46,10.23,9.78,5.12,10.00,6.14,16.29
EIDPARRY,500125,24.43,12.22,8.19,6.11,10.00,7.33,13.64
ENDURANCE,540153,21.53,10.77,9.29,5.38,10.00,6.46,15.48
ENGINERSIN,532178,18.92,9.46,10.57,5.00,10.00,5.00,20.00
ERIS,540596,18.02,9.01,11.10,5.00,10.00,5.00,20.00
ESCORTS,500495,27.31,13.66,7.32,6.83,10.00,8.19,12.21
EXIDEIND,500086,17.06,8.53,11.72,5.00,10.00,5.00,20.00
FACT,590024,27.51,13.76,7.27,6.88,10.00,8.25,12.12
FDC,531599,21.10,10.55,9.48,5.28,10.00,6.33,15.80
FEDERALBNK,500469,29.08,14.54,6.88,7.27,10.00,8.72,11.46
FIEMIND,532768,26.09,13.05,7.67,6.52,10.00,7.83,12.78
FINEORG,541557,22.10,11.05,9.05,5.53,10.00,6.63,15.08
FORCEMOT,500033,22.30,11.15,8.97,5.58,10.00,6.69,14.95
FORTIS,532843,15.97,7.99,12.52,5.00,10.00,5.00,20.00
GAIL,532155,20.10,10.05,9.95,5.03,10.00,6.03,16.58
GALAXYSURF,540935,18.82,9.41,10.63,5.00,10.00,5.00,20.00
GARFIBRES,509557,21.05,10.53,9.50,5.26,10.00,6.32,15.84
GICHSGFIN,511676,25.56,12.78,7.82,6.39,10.00,7.67,13.04
GILLETTE,507815,12.50,6.25,16.00,5.00,10.00,5.00,20.00
GIPCL,517300,18.88,9.44,10.59,5.00,10.00,5.00,20.00
GLAXO,500660,14.69,7.35,13.61,5.00,10.00,5.00,20.00
GLENMARK,532296,39.99,20.00,5.00,10.00,10.00,12.00,8.34
GMBREW,507488,22.21,11.11,9.00,5.55,10.00,6.66,15.01
GMDCLTD,532181,20.34,10.17,9.83,5.09,10.00,6.10,16.39
GMRINFRA,532754,22.70,11.35,8.81,5.68,10.00,6.81,14.68
GODFRYPHLP,500163,20.20,10.10,9.90,5.05,10.00,6.06,16.50
GODREJAGRO,540743,18.35,9.18,10.90,5.00,10.00,5.00,20.00
GODREJCP,532424,16.84,8.42,11.88,5.00,10.00,5.00,20.00
